filename,width,height,mode,format,average-red,average-green,average-blue
1077.jpg,384,256,RGB,JPG,191.61752319335938,168.5153096516927,156.03011067708331
855.jpg,384,256,RGB,JPG,169.23788452148438,135.75823974609375,111.0437520345052
5580.jpg,384,256,RGB,JPG,58.228983561197914,112.90622965494791,154.44296264648438
4161.jpg,156,255,RGB,JPG,152.6196581196581,148.52144293614882,147.5872549019608
4761.jpg,384,256,RGB,JPG,197.26448567708331,130.33956909179688,63.369415283203125
6039.jpg,186,255,RGB,JPG,195.66000421674048,182.38370229812355,172.94341134303184
4623.jpg,171,255,RGB,JPG,150.8585712647632,123.87684898520811,114.92902190115812
630.jpg,337,256,RGB,JPG,216.87636776706233,205.86085867952522,216.3097412833828
1206.jpg,384,256,RGB,JPG,234.08839925130206,214.61173502604166,204.1088155110677
5661.jpg,384,256,RGB,JPG,145.88399251302081,146.81396484375,152.01021321614581
2280.jpg,384,256,RGB,JPG,174.98672485351562,151.31470743815103,144.59076944986978
2346.jpg,455,256,RGB,JPG,97.87867445054945,129.19400755494505,161.25825892857142
1710.jpg,384,256,RGB,JPG,97.82505289713541,125.10338338216145,89.75616455078125
336.jpg,278,255,RGB,JPG,169.41349978840458,152.07448159119764,138.90993087882634
3378.jpg,384,256,RGB,JPG,126.60713704427083,112.70291137695312,83.92666625976562
4506.jpg,384,256,RGB,JPG,159.21678670247394,184.52168782552081,153.47803751627603
816.jpg,341,256,RGB,JPG,229.7797264479472,229.7797264479472,229.7797264479472
2697.jpg,384,256,RGB,JPG,231.06480916341144,229.80663045247394,224.81700642903644
3564.jpg,400,256,RGB,JPG,111.714189453125,117.16408203125,131.266298828125
585.jpg,256,256,RGB,JPG,137.41192626953125,125.461181640625,115.32746887207031
5622.jpg,395,256,RGB,JPG,243.16088805379746,232.2686016613924,223.92903481012658
5067.jpg,151,256,RGB,JPG,189.95873861754967,181.62181808774835,179.51590956125827
1761.jpg,384,256,RGB,JPG,120.44855753580728,112.55348714192708,89.68332926432291
636.jpg,170,255,RGB,JPG,164.7579008073818,166.40239907727798,164.62405997693196
5109.jpg,169,255,RGB,JPG,243.71481610395637,202.05030746026222,190.64153614108366
570.jpg,385,255,RGB,JPG,198.86125795772855,183.08714031066972,164.90408963585435
5250.jpg,170,255,RGB,JPG,213.75273356401385,216.77704728950405,213.83208765859285
1680.jpg,384,256,RGB,JPG,67.365478515625,78.46387736002603,37.882436116536454
2508.jpg,384,256,RGB,JPG,247.08101399739581,245.79171752929688,245.88704427083331
3582.jpg,231,255,RGB,JPG,244.69871827518887,244.04059078176726,240.53929208046856
4176.jpg,384,256,RGB,JPG,133.06061808268228,147.64722696940103,168.5799560546875
1866.jpg,256,256,RGB,JPG,236.89422607421875,234.94801330566406,229.926513671875
1221.jpg,471,256,RGB,JPG,161.78047040870487,161.08981886942675,156.07660728503186
4797.jpg,170,255,RGB,JPG,153.49700115340255,153.76332179930796,160.37361014994232
978.jpg,170,255,RGB,JPG,156.69949250288352,151.39854671280278,110.72696655132641
2523.jpg,170,255,RGB,JPG,247.0790311418685,246.71012687427913,246.40094579008075
195.jpg,384,256,RGB,JPG,192.440185546875,182.7244669596354,140.13150024414062
4326.jpg,384,256,RGB,JPG,111.53134155273438,153.65082804361978,182.26204427083331
1308.jpg,384,256,RGB,JPG,195.2413838704427,182.81742350260416,169.12482706705728
5718.jpg,385,255,RGB,JPG,230.46823529411765,210.94474153297685,195.36088617265088
4980.jpg,384,256,RGB,JPG,211.38306681315103,191.5868428548177,192.38935343424478
2349.jpg,169,255,RGB,JPG,94.59658893143056,90.45241907413853,88.28569439610163
5571.jpg,170,255,RGB,JPG,206.57287197231835,156.69900807381777,136.4124798154556
5949.jpg,287,256,RGB,JPG,185.44190984320556,131.29667084059233,93.6610137195122
5664.jpg,384,256,RGB,JPG,199.39513142903644,182.19273885091144,155.66360473632812
4338.jpg,170,255,RGB,JPG,181.31621683967705,160.95478662053057,150.21367935409458
891.jpg,508,256,RGB,JPG,211.76675535187007,197.7123369832677,186.3269485113189
1722.jpg,384,255,RGB,JPG,157.2535130718954,153.53520220588234,112.18549836601306
5133.jpg,192,256,RGB,JPG,133.88214111328125,119.86446126302083,94.13344319661458
3450.jpg,385,255,RGB,JPG,87.080132416603,90.08606060606061,96.53193786605551
5151.jpg,385,255,RGB,JPG,168.29303794244973,138.06267379679144,118.19337916984976
1620.jpg,187,255,RGB,JPG,207.63927859914017,201.48103177099716,198.93756946628918
4743.jpg,384,256,RGB,JPG,204.88722737630206,197.15149943033853,172.4871114095052
837.jpg,401,256,RGB,JPG,99.89711268703242,96.86987609102245,71.2196559382793
5733.jpg,170,255,RGB,JPG,126.26493656286044,153.88576701268744,167.3104267589389
2688.jpg,391,256,RGB,JPG,122.60090313299234,128.1778692455243,104.82652653452686
6114.jpg,170,256,RGB,JPG,174.68639705882353,147.03982077205882,132.4477481617647
2664.jpg,384,256,RGB,JPG,186.07855224609375,160.54584757486978,134.86062622070312
1068.jpg,170,255,RGB,JPG,124.04249134948097,130.95921568627452,97.59088811995387
3324.jpg,170,255,RGB,JPG,181.62196078431373,159.1489504036909,151.43268742791236
5310.jpg,327,256,RGB,JPG,197.65633362003058,180.7219753440367,176.12590787461775
3453.jpg,170,255,RGB,JPG,234.52938869665513,201.24772779700115,168.48777393310266
1113.jpg,256,256,RGB,JPG,249.9432373046875,250.11160278320312,250.16146850585938
606.jpg,384,256,RGB,JPG,208.00670369466144,204.64115397135416,199.1187540690104
